id,name,kind,contact,status,notes
PT_002,Shine,charity-prospect,,prospect,reg 249338 — partnership tie-up planned
PT_003,Arthritis UK (fka Versus Arthritis),charity-prospect,,prospect,reg 207711 — partnership tie-up planned
PT_004,Epilepsy Action,charity-prospect,,prospect,reg 234343 — partnership tie-up planned
PT_005,Crohn's & Colitis UK,charity-prospect,,prospect,reg 1117148 — partnership tie-up planned
PT_006,Cancer Research UK,charity-prospect,,prospect,reg 1089464 — partnership tie-up planned
